time,open,high,low,close,tick_volume,spread,real_volume
2025-03-14 11:25:00+00:00,3.85324,3.85335,3.852,3.8523,306,350,0
2025-03-14 11:30:00+00:00,3.8522,3.8524000000000003,3.8491999999999997,3.84925,384,350,0
2025-03-14 11:35:00+00:00,3.84925,3.84965,3.84675,3.84765,397,350,0
2025-03-14 11:40:00+00:00,3.84765,3.8496,3.84675,3.84825,454,350,0
2025-03-14 11:45:00+00:00,3.84825,3.85015,3.84715,3.85015,395,350,0
2025-03-14 11:50:00+00:00,3.8502,3.85053,3.84852,3.84865,421,350,0
2025-03-14 11:55:00+00:00,3.84865,3.85022,3.84775,3.84885,412,350,0
2025-03-14 12:00:00+00:00,3.84885,3.849,3.84434,3.84441,352,350,0
2025-03-14 12:05:00+00:00,3.84436,3.84452,3.84152,3.84344,411,350,0
2025-03-14 12:10:00+00:00,3.84344,3.84392,3.84283,3.84338,250,350,0
2025-03-14 12:15:00+00:00,3.84338,3.84469,3.84214,3.84217,319,350,0
2025-03-14 12:20:00+00:00,3.84217,3.84217,3.8397,3.84007,442,350,0
2025-03-14 12:25:00+00:00,3.8401199999999998,3.8407999999999998,3.83911,3.84035,414,350,0
2025-03-14 12:30:00+00:00,3.84035,3.84198,3.84017,3.84193,277,350,0
2025-03-14 12:35:00+00:00,3.84193,3.84287,3.8356,3.8375500000000002,356,350,0
2025-03-14 12:40:00+00:00,3.83774,3.84001,3.8315099999999997,3.83176,1111,350,0
2025-03-14 12:45:00+00:00,3.83176,3.83366,3.8255,3.832,1195,350,0
2025-03-14 12:50:00+00:00,3.832,3.83231,3.8252,3.8260899999999998,1313,350,0
2025-03-14 12:55:00+00:00,3.8259,3.83182,3.8259,3.83155,819,350,0
2025-03-14 13:00:00+00:00,3.83154,3.83242,3.82882,3.83107,715,350,0
2025-03-14 13:05:00+00:00,3.83107,3.8352399999999998,3.8296099999999997,3.8315,959,350,0
2025-03-14 13:10:00+00:00,3.8312,3.83415,3.8306,3.83195,857,350,0
2025-03-14 13:15:00+00:00,3.8319,3.83222,3.83007,3.8321,662,350,0
2025-03-14 13:20:00+00:00,3.8320499999999997,3.83258,3.83025,3.83185,519,350,0
2025-03-14 13:25:00+00:00,3.83185,3.83185,3.82625,3.8278499999999998,750,350,0
2025-03-14 13:30:00+00:00,3.8278,3.8278,3.8234,3.82385,854,350,0
2025-03-14 13:35:00+00:00,3.82385,3.8262,3.8235,3.82435,535,350,0
2025-03-14 13:40:00+00:00,3.82435,3.82617,3.82375,3.82617,578,350,0
2025-03-14 13:45:00+00:00,3.82617,3.82688,3.8223000000000003,3.8228400000000002,642,350,0
2025-03-14 13:50:00+00:00,3.8228400000000002,3.82632,3.82193,3.82617,549,350,0
2025-03-14 13:55:00+00:00,3.82617,3.82756,3.8258,3.82592,428,350,0
2025-03-14 14:00:00+00:00,3.82592,3.82592,3.82005,3.82065,512,350,0
2025-03-14 14:05:00+00:00,3.82065,3.82445,3.82065,3.82259,462,350,0
2025-03-14 14:10:00+00:00,3.82263,3.82288,3.82091,3.8216099999999997,389,350,0
2025-03-14 14:15:00+00:00,3.8216099999999997,3.82245,3.82081,3.82139,449,350,0
2025-03-14 14:20:00+00:00,3.82139,3.82139,3.8192500000000003,3.82013,399,350,0
2025-03-14 14:25:00+00:00,3.82018,3.82189,3.81921,3.82057,436,350,0
2025-03-14 14:30:00+00:00,3.82057,3.82259,3.82005,3.82035,355,350,0
2025-03-14 14:35:00+00:00,3.8204000000000002,3.82335,3.82021,3.82335,476,350,0
2025-03-14 14:40:00+00:00,3.8233,3.82414,3.81975,3.82402,488,350,0
2025-03-14 14:45:00+00:00,3.82391,3.8264,3.82246,3.82625,311,350,0
2025-03-14 14:50:00+00:00,3.82625,3.82655,3.82303,3.82321,317,350,0
2025-03-14 14:55:00+00:00,3.82326,3.82805,3.82326,3.82643,397,350,0
2025-03-14 15:00:00+00:00,3.82643,3.82881,3.82634,3.82881,557,350,0
2025-03-14 15:05:00+00:00,3.82885,3.83026,3.8288,3.8299,460,350,0
2025-03-14 15:10:00+00:00,3.82985,3.8306,3.82575,3.8266999999999998,497,350,0
2025-03-14 15:15:00+00:00,3.8266999999999998,3.82808,3.8266,3.82715,401,350,0
2025-03-14 15:20:00+00:00,3.8272,3.82755,3.82585,3.82625,458,350,0
